"_univ-rank","d-none src","logo-wrapper src","uni-link","uni-link href","location","qs-stars-font","btn","overall-score-span","_addShortText"
"21","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg","University of Chicago","https://www.topuniversities.com/universities/university-chicago","Chicago,  United States","QS Stars","More Details","86.2","Shortlist"
"22","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg","Princeton University","https://www.topuniversities.com/universities/princeton-university","Princeton,  United States","QS Stars","More Details","85.5","Shortlist"
"23","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg","Yale University","https://www.topuniversities.com/universities/yale-university","New Haven,  United States","QS Stars","More Details","85.2","Shortlist"
"24","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/universit-psl_592560e69988f300e2321dfe_small.jpg","Université PSL","https://www.topuniversities.com/universities/universite-psl","Paris,  France","QS Stars","More Details","84.7","Shortlist"
"25","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-toronto_619_small.jpg","University of Toronto","https://www.topuniversities.com/universities/university-toronto","Toronto,  Canada","QS Stars","More Details","84.1","Shortlist"
"26","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg","EPFL – École polytechnique fédérale de Lausanne","https://www.topuniversities.com/universities/epfl-ecole-polytechnique-federale-de-lausanne","Lausanne,  Switzerland","QS Stars","More Details","83.5","Shortlist"
"27","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg","The University of Edinburgh","https://www.topuniversities.com/universities/university-edinburgh","Edinburgh,  United Kingdom","QS Stars","More Details","83.3","Shortlist"
"28","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/technical-university-of-munich_599_small.jpg","Technical University of Munich","https://www.topuniversities.com/universities/technical-university-munich","Munich,  Germany","QS Stars","More Details","83.2","Shortlist"
"29","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small.jpg","McGill University","https://www.topuniversities.com/universities/mcgill-university","Montreal,  Canada","QS Stars","More Details","83","Shortlist"
"30","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/ANU-crest-48x48.jpg","Australian National University (ANU)","https://www.topuniversities.com/universities/australian-national-university-anu","Canberra,  Australia","QS Stars","More Details","82.4","Shortlist"
"31","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg","Seoul National University","https://www.topuniversities.com/universities/seoul-national-university","Seoul,  South Korea","QS Stars","More Details","82.3","Shortlist"
"=32","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small.jpg","Johns Hopkins University","https://www.topuniversities.com/universities/johns-hopkins-university","Baltimore,  United States","QS Stars","More Details","82.1","Shortlist"
"=32","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_small.jpg","The University of Tokyo","https://www.topuniversities.com/universities/university-tokyo","Tokyo,  Japan","QS Stars","More Details","82.1","Shortlist"
"=34","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/211207010540pm571294Webp.net-resizeimage-2021-12-07T150514.382-48x48.jpg","Columbia University","https://www.topuniversities.com/universities/columbia-university","New York City,  United States","QS Stars","More Details","82","Shortlist"
"=34","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg","The University of Manchester","https://www.topuniversities.com/universities/university-manchester","Manchester,  United Kingdom","QS Stars","More Details","82","Shortlist"
"36","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/230719090304am589775CUHK-acronym-logo-thumb-200x200%20%281%29_0.jpg","The Chinese University of Hong Kong (CUHK)","https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk","Hong Kong,  Hong Kong SAR","QS Stars","More Details","81.3","Shortlist"
"37","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/monash-university_412_small.jpg","Monash University","https://www.topuniversities.com/universities/monash-university","Melbourne,  Australia","QS Stars","More Details","81.2","Shortlist"
"38","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-british-columbia_70_small.jpg","University of British Columbia","https://www.topuniversities.com/universities/university-british-columbia","Vancouver,  Canada","QS Stars","More Details","81","Shortlist"
"39","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/fudan-university_218_small.jpg","Fudan University","https://www.topuniversities.com/universities/fudan-university","Shanghai,  China (Mainland)","QS Stars","More Details","80.3","Shortlist"
"=40","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/231024034600pm558869KCL-box-red-485-rgb-48x48.jpg","King's College London","https://www.topuniversities.com/universities/kings-college-london","London,  United Kingdom","QS Stars","More Details","80.2","Shortlist"
"=40","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/210824044126am970441uq-logo-48x48.jpg","The University of Queensland","https://www.topuniversities.com/universities/university-queensland","Brisbane City,  Australia","QS Stars","More Details","80.2","Shortlist"
"42","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg","University of California, Los Angeles (UCLA)","https://www.topuniversities.com/universities/university-california-los-angeles-ucla","Los Angeles,  United States","QS Stars","More Details","79.8","Shortlist"
"43","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/new-york-university-nyu_448_small.jpg","New York University (NYU)","https://www.topuniversities.com/universities/new-york-university-nyu","New York City,  United States","QS Stars","More Details","79.6","Shortlist"
"44","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-michigan_403_small.jpg","University of Michigan-Ann Arbor","https://www.topuniversities.com/universities/university-michigan-ann-arbor","Ann Arbor,  United States","QS Stars","More Details","79","Shortlist"
"45","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/shanghai-jiao-tong-university_556_small.jpg","Shanghai Jiao Tong University","https://www.topuniversities.com/universities/shanghai-jiao-tong-university","Shanghai,  China (Mainland)","QS Stars","More Details","77.8","Shortlist"
"46","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/institut-polytechnique-de-paris_5f3a6d4210ca6076bc71cae4_small.jpg","Institut Polytechnique de Paris","https://www.topuniversities.com/universities/institut-polytechnique-de-paris","Palaiseau Cedex,  France","QS Stars","More Details","77.5","Shortlist"
