"_univ-rank","d-none src","logo-wrapper src","uni-link","uni-link href","location","qs-stars-font","btn","overall-score-span","_addShortText"
"=89","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/230619052213pm191066PU-SIG-Logo-RGB--PU-V-Full-RGB-48x48.jpg","Purdue University","https://www.topuniversities.com/universities/purdue-university","West Lafayette,  United States","QS Stars","More Details","61.7","Shortlist"
"92","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/universidade-de-so-paulo_550_small.jpg","Universidade de São Paulo","https://www.topuniversities.com/universities/universidade-de-sao-paulo","São Paulo,  Brazil","QS Stars","More Details","61.6","Shortlist"
"93","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_small.jpg","Pontificia Universidad Católica de Chile (UC)","https://www.topuniversities.com/universities/pontificia-universidad-cat%C3%B3lica-de-chile-uc","Santiago,  Chile","QS Stars","More Details","61.5","Shortlist"
"=94","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/lomonosov-moscow-state-university-_592560cf2aeae70239af4c27_small.jpg","Lomonosov Moscow State University","https://www.topuniversities.com/universities/lomonosov-moscow-state-university","Moscow,  Russia","QS Stars","More Details","61.4","Shortlist"
"=94","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/universidad-nacional-autnoma-de-mxico-unam_425_small.jpg","Universidad Nacional Autónoma de México  (UNAM)","https://www.topuniversities.com/universities/universidad-nacional-autonoma-de-mexico-unam","Mexico City,  Mexico","QS Stars","More Details","61.4","Shortlist"
"96","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/240306052437pm316638378168-RankingLogo-QS-200x200px-48x48.jpg","University of Alberta","https://www.topuniversities.com/universities/university-alberta","Edmonton,,  Canada","QS Stars","More Details","61.2","Shortlist"
"97","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/freie-universitaet-berlin_215_small.jpg","Freie Universitaet Berlin","https://www.topuniversities.com/universities/freie-universitaet-berlin","Berlin,  Germany","QS Stars","More Details","60.6","Shortlist"
"98","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/pohang-university-of-science-and-technology-postech_592560cf2aeae70239af4c7b_small.jpg","Pohang University of Science And Technology (POSTECH)","https://www.topuniversities.com/universities/pohang-university-science-technology-postech","Pohang ,  South Korea","QS Stars","More Details","60.3","Shortlist"
"99","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_small.jpg","RWTH Aachen University","https://www.topuniversities.com/universities/rwth-aachen-university","Aachen,  Germany","QS Stars","More Details","59.9","Shortlist"
"100","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-copenhagen_141_small.jpg","University of Copenhagen","https://www.topuniversities.com/universities/university-copenhagen","Copenhagen,  Denmark","QS Stars","More Details","59.6","Shortlist"
"101","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/240507073218am299774newest-logo-KFUPM-48x48.jpg","KFUPM","https://www.topuniversities.com/universities/kfupm","Dhahran,  Saudi Arabia","QS Stars","More Details","59.5","Shortlist"
"102","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/kit-karlsruhe-institute-of-technology_310_small.jpg","KIT, Karlsruhe Institute of Technology","https://www.topuniversities.com/universities/kit-karlsruhe-institute-technology","Karlsruhe,  Germany","QS Stars","More Details","59.4","Shortlist"
"103","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/uppsala-university_643_small.jpg","Uppsala University","https://www.topuniversities.com/universities/uppsala-university","Uppsala,  Sweden","QS Stars","More Details","59.3","Shortlist"
"104","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-st-andrews_570_small.jpg","University of St Andrews","https://www.topuniversities.com/universities/university-st-andrews","St. Andrews,  United Kingdom","QS Stars","More Details","59.2","Shortlist"
"=105","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/230919100158am438629UoS-logo-48x48.jpg","The University of Sheffield","https://www.topuniversities.com/universities/university-sheffield","Sheffield,  United Kingdom","QS Stars","More Details","59.1","Shortlist"
"=105","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/utrecht-university_646_small.jpg","Utrecht University","https://www.topuniversities.com/universities/utrecht-university","Utrecht,  Netherlands","QS Stars","More Details","59.1","Shortlist"
"107","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/tohoku-university_611_small.jpg","Tohoku University","https://www.topuniversities.com/universities/tohoku-university","Sendai City,  Japan","QS Stars","More Details","58.8","Shortlist"
"108","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/boston-university_592560cf2aeae70239af4ac2_small.jpg","Boston University","https://www.topuniversities.com/universities/boston-university","Boston,  United States","QS Stars","More Details","58.6","Shortlist"
"108","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/240606102649am426810UoN-NottinghamBlue-CastleBox-RGB-48x48.jpg","University of Nottingham","https://www.topuniversities.com/universities/university-nottingham","Nottingham,  United Kingdom","QS Stars","More Details","58.5","Shortlist"
"=109","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/technical-university-of-denmark_592560cf2aeae70239af4cd8_small.jpg","Technical University of Denmark","https://www.topuniversities.com/universities/technical-university-denmark","Kongens Lyngby,  Denmark","QS Stars","More Details","58.3","Shortlist"
"=109","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-zurich_693_small.jpg","University of Zurich","https://www.topuniversities.com/universities/university-zurich","Zürich,  Switzerland","QS Stars","More Details","58.3","Shortlist"
"111","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/politecnico-di-milano_592560cf2aeae70239af4c1c_small.jpg","Politecnico di Milano","https://www.topuniversities.com/universities/politecnico-di-milano","Milan,,  Italy","QS Stars","More Details","58.2","Shortlist"
"113","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/230913111738am272302Aalto-University-logo-200x200-48x48.jpg","Aalto University","https://www.topuniversities.com/universities/aalto-university","Espoo,  Finland","QS Stars","More Details","57.9","Shortlist"
"114","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/georgia-institute-of-technology_225_small.jpg","Georgia Institute of Technology","https://www.topuniversities.com/universities/georgia-institute-technology","Atlanta,  United States","QS Stars","More Details","57.3","Shortlist"
"115","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-waterloo_670_small.jpg","University of Waterloo","https://www.topuniversities.com/universities/university-waterloo","Waterloo,  Canada","QS Stars","More Details","57.2","Shortlist"
"116","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_small.jpg","University of Wisconsin-Madison","https://www.topuniversities.com/universities/university-wisconsin-madison","Madison,  United States","QS Stars","More Details","57.1","Shortlist"
"117","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-helsinki_260_small.jpg","University of Helsinki","https://www.topuniversities.com/universities/university-helsinki","Helsinki,  Finland","QS Stars","More Details","56.8","Shortlist"
"118","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-bombay-iitb_281_small.jpg","Indian Institute of Technology Bombay (IITB)","https://www.topuniversities.com/universities/indian-institute-technology-bombay-iitb","Mumbai,  India","QS Stars","More Details","56.3","Shortlist"
"119","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-oslo_473_small.jpg","University of Oslo","https://www.topuniversities.com/universities/university-oslo","Oslo,  Norway","QS Stars","More Details","56.1","Shortlist"
"=120","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/queen-mary-university-of-london_592560cf2aeae70239af4bea_small.jpg","Queen Mary University of London","https://www.topuniversities.com/universities/queen-mary-university-london","London,  United Kingdom","QS Stars","More Details","55.8","Shortlist"
"=120","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/the-university-of-western-ontario_674_small.jpg","Western University","https://www.topuniversities.com/universities/western-university","London,  Canada","QS Stars","More Details","55.8","Shortlist"
"122","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/qatar-university_2537_small.jpg","Qatar University","https://www.topuniversities.com/universities/qatar-university","Doha,  Qatar","QS Stars","More Details","55.7","Shortlist"
"=123","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/rmit-university_592560cf2aeae70239af4c95_small.jpg","RMIT University","https://www.topuniversities.com/universities/rmit-university","Melbourne,  Australia","QS Stars","More Details","55.5","Shortlist"
"","","","","","","","","",""
"=123","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/sungkyunkwan-universityskku_592560cf2aeae70239af4cc9_small.jpg","Sungkyunkwan University (SKKU)","https://www.topuniversities.com/universities/sungkyunkwan-universityskku","Suwon,  South Korea","QS Stars","More Details","55.5","Shortlist"
"125","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-southern-california_569_small.jpg","University of Southern California","https://www.topuniversities.com/universities/university-southern-california","Los Angeles,  United States","QS Stars","More Details","55.2","Shortlist"
"=126","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/humboldt-universitt-zu-berlin_272_small.jpg","Humboldt-Universität zu Berlin","https://www.topuniversities.com/universities/humboldt-universitat-zu-berlin","Berlin,  Germany","QS Stars","More Details","55","Shortlist"
"=126","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-college-dublin_166_small.jpg","University College Dublin","https://www.topuniversities.com/universities/university-college-dublin","Dublin,  Ireland","QS Stars","More Details","55","Shortlist"
"128","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/stockholm-university_577_small.jpg","Stockholm University","https://www.topuniversities.com/universities/stockholm-university","Stockholm,  Sweden","QS Stars","More Details","54.8","Shortlist"
"129","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/newcastle-university_592560cf2aeae70239af4c45_small.jpg","Newcastle University","https://www.topuniversities.com/universities/newcastle-university","Newcastle upon Tyne,  United Kingdom","QS Stars","More Details","54.5","Shortlist"
"130","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-california-davis_592560cf2aeae70239af4ad8_small.jpg","University of California, Davis","https://www.topuniversities.com/universities/university-california-davis","Davis,  United States","QS Stars","More Details","54.4","Shortlist"
"","","","","","","","","",""
"131","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-basel_46_small.jpg","University of Basel","https://www.topuniversities.com/universities/university-basel","Basel,  Switzerland","QS Stars","More Details","54.3","Shortlist"
"132","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/sapienza-university-of-rome_592560cf2aeae70239af4c97_small.jpg","Sapienza University of Rome","https://www.topuniversities.com/universities/sapienza-university-rome","Rome,  Italy","QS Stars","More Details","54.2","Shortlist"
"=133","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/240304015357pm262606Unibo-200X200-48x48.jpg","Alma Mater Studiorum - Università di Bologna","https://www.topuniversities.com/universities/alma-mater-studiorum-universita-di-bologna","Bologna,  Italy","QS Stars","More Details","54.1","Shortlist"
"=133","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/macquarie-university_378_small.jpg","Macquarie University (Sydney, Australia)","https://www.topuniversities.com/universities/macquarie-university-sydney-australia","Sydney,  Australia","QS Stars","More Details","54.1","Shortlist"
"=133","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-science-and-technology-of-china_122_small.jpg","University of Science and Technology of China","https://www.topuniversities.com/universities/university-science-technology-china","Hefei,  China (Mainland)","QS Stars","More Details","54.1","Shortlist"
"136","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/eindhoven-university-of-technology_592560cf2aeae70239af4b3c_small.jpg","Eindhoven University of Technology","https://www.topuniversities.com/universities/eindhoven-university-technology","Eindhoven,  Netherlands","QS Stars","More Details","54","Shortlist"
"137","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-vienna_652_small.jpg","University of Vienna","https://www.topuniversities.com/universities/university-vienna","Vienna,  Austria","QS Stars","More Details","53.9","Shortlist"
"138","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/universiti-kebangsaan-malaysia-ukm_384_small.jpg","Universiti Kebangsaan Malaysia (UKM)","https://www.topuniversities.com/universities/universiti-kebangsaan-malaysia-ukm","Bangi,  Malaysia","QS Stars","More Details","53.8","Shortlist"
"=139","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/chalmers-university-of-technology_592560cf2aeae70239af4af7_small.jpg","Chalmers University of Technology","https://www.topuniversities.com/universities/chalmers-university-technology","Gothenburg,  Sweden","QS Stars","More Details","53.7","Shortlist"
"=139","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/universidad-de-chile_121_small.jpg","Universidad de Chile","https://www.topuniversities.com/universities/universidad-de-chile","Santiago,  Chile","QS Stars","More Details","53.7","Shortlist"
"","","","","","","","","",""
"=141","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/lancaster-university_335_small.jpg","Lancaster University","https://www.topuniversities.com/universities/lancaster-university","Lancaster,,  United Kingdom","QS Stars","More Details","53.6","Shortlist"
"=141","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/leiden-university_340_small.jpg","Leiden University","https://www.topuniversities.com/universities/leiden-university","Leiden,  Netherlands","QS Stars","More Details","53.6","Shortlist"
"=141","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/rice-university_524_small.jpg","Rice University","https://www.topuniversities.com/universities/rice-university","Houston,  United States","QS Stars","More Details","53.6","Shortlist"
"144","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg","Aarhus University","https://www.topuniversities.com/universities/aarhus-university","Aarhus,  Denmark","QS Stars","More Details","53.3","Shortlist"
"145","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/nanjing-university_430_small.jpg","Nanjing University","https://www.topuniversities.com/universities/nanjing-university","Nanjing,  China (Mainland)","QS Stars","More Details","53","Shortlist"
"146","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/universiti-sains-malaysia-usm_386_small.jpg","Universiti Sains Malaysia (USM)","https://www.topuniversities.com/universities/universiti-sains-malaysia-usm","Gelugor,  Malaysia","QS Stars","More Details","52.7","Shortlist"
"147","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/technische-universitt-berlin-tu-berlin_595_small.jpg","Technische Universität Berlin (TU Berlin)","https://www.topuniversities.com/universities/technische-universitat-berlin-tu-berlin","Berlin,  Germany","QS Stars","More Details","52.5","Shortlist"
"148","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/universiti-putra-malaysia-upm_385_small.jpg","Universiti Putra Malaysia (UPM)","https://www.topuniversities.com/universities/universiti-putra-malaysia-upm","Seri Kembangan,  Malaysia","QS Stars","More Details","52.3","Shortlist"
"149","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/king-abdulaziz-university-kau_1172_small.jpg","King Abdulaziz University (KAU)","https://www.topuniversities.com/universities/king-abdulaziz-university-kau","Jeddah,  Saudi Arabia","QS Stars","More Details","52.2","Shortlist"
"=150","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-delhi-iitd_282_small.jpg","Indian Institute of Technology Delhi (IITD)","https://www.topuniversities.com/universities/indian-institute-technology-delhi-iitd","New Delhi,  India","QS Stars","More Details","52.1","Shortlist"
"=150","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-bath_47_small.jpg","University of Bath","https://www.topuniversities.com/universities/university-bath","Bath,  United Kingdom","QS Stars","More Details","52.1","Shortlist"
"=152","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/michigan-state-university_402_small.jpg","Michigan State University","https://www.topuniversities.com/universities/michigan-state-university","East Lansing,  United States","QS Stars","More Details","51.9","Shortlist"
"=152","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/nagoya-university_427_small.jpg","Nagoya University","https://www.topuniversities.com/universities/nagoya-university","Nagoya,  Japan","QS Stars","More Details","51.9","Shortlist"
"154","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/texas-am-university_592560cf2aeae70239af4ce2_small.jpg","Texas A&M University","https://www.topuniversities.com/universities/texas-am-university","College Station,  United States","QS Stars","More Details","51.8","Shortlist"
"=155","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-geneva_221_small.jpg","University of Geneva","https://www.topuniversities.com/universities/university-geneva","Geneva,  Switzerland","QS Stars","More Details","51.6","Shortlist"
"=155","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-north-carolina-chapel-hill_424_small.jpg","University of North Carolina at Chapel Hill","https://www.topuniversities.com/universities/university-north-carolina-chapel-hill","Chapel Hill,  United States","QS Stars","More Details","51.6","Shortlist"
"=155","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/wageningen-university_659_small.jpg","Wageningen University & Research","https://www.topuniversities.com/universities/wageningen-university-research","Wageningen,  Netherlands","QS Stars","More Details","51.6","Shortlist"
"158","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/erasmus-university-rotterdam_190_small.jpg","Erasmus University Rotterdam","https://www.topuniversities.com/universities/erasmus-university-rotterdam","Rotterdam,  Netherlands","QS Stars","More Details","51.5","Shortlist"
"=159","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-groningen_243_small.jpg","University of Groningen","https://www.topuniversities.com/universities/university-groningen","Groningen,  Netherlands","QS Stars","More Details","51.3","Shortlist"
"=159","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/universit-de-montral_417_small.jpg","Université de Montréal","https://www.topuniversities.com/universities/universite-de-montreal","Montreal,  Canada","QS Stars","More Details","51.3","Shortlist"
"161","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-bern_55_small.jpg","University of Bern","https://www.topuniversities.com/universities/university-bern","Bern,  Switzerland","QS Stars","More Details","51.2","Shortlist"
"162","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/hanyang-university_250_small.jpg","Hanyang University","https://www.topuniversities.com/universities/hanyang-university","Seoul,  South Korea","QS Stars","More Details","51.1","Shortlist"
"163","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/240206083847am456393logo-1-48x48.jpg","Al-Farabi Kazakh National University","https://www.topuniversities.com/universities/al-farabi-kazakh-national-university","Almaty,  Kazakhstan","QS Stars","More Details","51","Shortlist"
"164","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/complutense-university-of-madrid_592560cf2aeae70239af4bff_small.jpg","Complutense University of Madrid","https://www.topuniversities.com/universities/complutense-university-madrid","Madrid,  Spain","QS Stars","More Details","50.9","Shortlist"
"=165","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-barcelona_592560cf2aeae70239af4aaf_small.jpg","Universitat de Barcelona","https://www.topuniversities.com/universities/universitat-de-barcelona","Barcelona,  Spain","QS Stars","More Details","50.7","Shortlist"
"=165","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-liverpool_350_small.jpg","University of Liverpool","https://www.topuniversities.com/universities/university-liverpool","Liverpool,  United Kingdom","QS Stars","More Details","50.7","Shortlist"
"=167","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/kyushu-university_331_small.jpg","Kyushu University","https://www.topuniversities.com/universities/kyushu-university","Fukuoka City,  Japan","QS Stars","More Details","50.3","Shortlist"
"=167","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-wollongong_680_small.jpg","University of Wollongong","https://www.topuniversities.com/universities/university-wollongong","Wollongong,  Australia","QS Stars","More Details","50.3","Shortlist"
"=169","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/ghent-university_228_small.jpg","Ghent University","https://www.topuniversities.com/universities/ghent-university","Ghent,  Belgium","QS Stars","More Details","50.1","Shortlist"
"=169","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/221117102054am246521University-of-Exeter-Simplified-Logo-Portrait-positive-200-x-200-48x48.jpg","University of Exeter","https://www.topuniversities.com/universities/university-exeter","Exeter,  United Kingdom","QS Stars","More Details","50.1","Shortlist"
"171","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/210830024732pm396697UCTcircular-logo1-CMYK-48x48.jpg","University of Cape Town","https://www.topuniversities.com/universities/university-cape-town","Cape Town,  South Africa","QS Stars","More Details","50","Shortlist"
"172","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-reading_517_small.jpg","University of Reading","https://www.topuniversities.com/universities/university-reading","Reading,  United Kingdom","QS Stars","More Details","49.9","Shortlist"
"173","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/hokkaido-university_266_small.jpg","Hokkaido University","https://www.topuniversities.com/universities/hokkaido-university","Sapporo,  Japan","QS Stars","More Details","49.8","Shortlist"
"174","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/curtin-university_150_small.jpg","Curtin University","https://www.topuniversities.com/universities/curtin-university","Perth,  Australia","QS Stars","More Details","49.3","Shortlist"
"175","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/240404114804am190222logo-uab-qs-48x48.jpg","Universitat Autònoma de Barcelona","https://www.topuniversities.com/universities/universitat-autonoma-de-barcelona","Barcelona,  Spain","QS Stars","More Details","49.2","Shortlist"
"=176","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/mcmaster-university_397_small.jpg","McMaster University","https://www.topuniversities.com/universities/mcmaster-university","Hamilton,  Canada","QS Stars","More Details","49","Shortlist"
"=176","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/washington-university-in-st.-louis_668_small.jpg","Washington University in St. Louis","https://www.topuniversities.com/universities/washington-university-st-louis","St. Louis,  United States","QS Stars","More Details","49","Shortlist"
"178","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-california-santa-barbara-ucsb_91_small.jpg","University of California, Santa Barbara (UCSB)","https://www.topuniversities.com/universities/university-california-santa-barbara-ucsb","Santa Barbara,  United States","QS Stars","More Details","48.9","Shortlist"
"=179","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/the-university-of-newcastle-australia-uon_449_small.jpg","The University of Newcastle, Australia (UON)","https://www.topuniversities.com/universities/university-newcastle-australia-uon","Callaghan,  Australia","QS Stars","More Details","48.7","Shortlist"
"=179","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/universidad-de-los-andes_592560cf2aeae70239af4bf6_small.jpg","Universidad de los Andes","https://www.topuniversities.com/universities/universidad-de-los-andes","Bogotá,  Colombia","QS Stars","More Details","48.7","Shortlist"
